household_size,type of dwelling,weather-sensitive features,attitude,weather conditions most affecting home's energy use,knowledge_about_weather_energy,adopting the weather-based energy management strategies,challenges in implementing energy-saving practices,appliances using the most electricity,days when household's electricity consumption is significantly higher,energy provider inform  about the electricity consumption and ways to save energy,What is your age range?,education,What is your occupation (optional)? ,income,comments or suggestions 
45387,Semi-detached house,No,Strongly agree,Precipitation,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.;Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,,Refrigerator;Washing machine;Dishwasher;Television,,Neutral,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",
45387,Apartment,Yes,Somewhat agree,Wind,Neutral,Unplugging unused electronics.,,Television,,Somewhat well,35-44 years old,Master's degree or higher,,"€20,000 - €40,000",
45325,Apartment,Yes,Neutral,Precipitation;Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,Dishwasher;Television,,Somewhat well,18-24 years old,Less than high school,,"€20,000 - €40,000",
45387,Semi-detached house,Yes,Strongly agree,Temperature,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Dryer;Television,,Somewhat well,18-24 years old,Less than high school,,"€40,000 - €60,000",
More than 5,Detached house,Yes,Somewhat agree,Temperature;Wind,Very informed,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Washing machine;Dryer;Dishwasher,,Somewhat poorly,18-24 years old,Less than high school,,"Less than €20,000",
45387,Apartment,No,Neutral,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible.,I'm on rent,Dishwasher,No,Somewhat poorly,35-44 years old,High school diploma or equivalent,,"Less than €20,000",No
45387,Apartment,No,Somewhat agree,Temperature;Precipitation;Wind;Humidity,Neutral,Unplugging unused electronics.,,Refrigerator;Washing machine;Dryer;Lighting,,Very poorly,18-24 years old,Less than high school,,"€60,000 - €80,000",
45325,Apartment,Yes,Somewhat agree,Temperature;Wind;Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,,Washing machine;Dryer;Dishwasher,,Somewhat well,45-54 years old,Less than high school,,"More than €80,000",
More than 5,Semi-detached house,Yes,Somewhat agree,Temperature;Precipitation,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,,Washing machine,No ,Neutral,45-54 years old,Some college,,,
45387,Semi-detached house,No,Somewhat disagree,Doesn't impact ,Very informed,Washing clothes in cold water during hot weather.,"Very energy sufficient already,  do nothing to face",Washing machine;Dryer,Sunday,Very well,25-34 years old,Master's degree or higher,Business analyst ,"More than €80,000",N/A
45387,Apartment,No,Strongly agree,Precipitation,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Refrigerator;Television;Lighting,,Neutral,18-24 years old,Less than high school,,"Less than €20,000",
45387,Apartment,No,Somewhat agree,Temperature,Neutral,Washing clothes in cold water during hot weather.,,Refrigerator,,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",
More than 5,Detached house,No,Somewhat disagree,Temperature;Wind;Humidity,Very uninformed,Adjusting your thermostat settings based on the weather forecast.,The cost,Refrigerator;Dishwasher;Lighting,Yes on weekends because everyone is at home,Very poorly,45-54 years old,Master's degree or higher,Unemployed,"€20,000 - €40,000",No
More than 5,Apartment,No,Strongly agree,Temperature;Wind,Somewhat uninformed,Using energy-efficient appliances whenever possible.,Too expensive ,Refrigerator;Television;Lighting,Weekends,Somewhat poorly,55-64 years old,Some college,,Prefer not to answer,No
45325,Detached house,Yes,Strongly agree,Temperature;Humidity,Very informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,Not many challenges - mainly internet cut off to control heating system ,Dryer;Dishwasher;Television,Weekend ,Very well,45-54 years old,Master's degree or higher,Prefer not to say ,Prefer not to answer,More grants for households to upgrade to energy efficiënts equipments 
45325,Detached house,No,Strongly agree,Temperature;Wind,Very uninformed,Using energy-efficient appliances whenever possible.;Taking shorter showers in hot weather.,Too expensive ,Refrigerator;Washing machine;Lighting,Weekends ,Neutral,18-24 years old,Less than high school,,"€40,000 - €60,000",
45325,Apartment,No,Somewhat agree,Precipitation;Humidity;Cloudy ,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,,Washing machine;Computer;Lighting,Weekends ,Very poorly,45-54 years old,Bachelor's degree,Technician,"€20,000 - €40,000","The information to be made public, the government to organise conferences to inform the population "
45325,Apartment,No,Strongly agree,Temperature,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Unplugging unused electronics.,Convenience,Refrigerator,Between 5 and 7 when home from work. ,Somewhat poorly,25-34 years old,Master's degree or higher,,"€40,000 - €60,000",No
1,Semi-detached house,No,Neutral,Precipitation;Humidity,Neutral,Unplugging unused electronics.;Washing clothes in cold water during hot weather.,My apartment is poorly isolated. It’s very cold throughout the year,Washing machine;Dryer;Dishwasher,Bank holidays and weekend ,Very poorly,45-54 years old,Bachelor's degree,I’m taxi driver ,"€20,000 - €40,000",Building should be isolated to reduce the heating 
45325,Semi-detached house,Yes,Neutral,Wind;Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,Coldest weather ,Refrigerator;Washing machine;Dryer,Weekends ,Somewhat poorly,55-64 years old,Bachelor's degree,Care giver,"€40,000 - €60,000",organising information sessions 
45325,Apartment,No,Neutral,Humidity,Somewhat informed,Washing clothes in cold water during hot weather.;Taking shorter showers in hot weather.,Humidity ,Washing machine;Dryer,Weekend ,Somewhat poorly,25-34 years old,Some college,Bus driver,"€20,000 - €40,000",Reducing the cost of energy 
45387,Terrace ,No,Strongly agree,Temperature,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.;Unplugging unused electronics.,Dealing with younger ones ,Washing machine;Dryer,No,Somewhat well,45-54 years old,Master's degree or higher,,"€40,000 - €60,000",
45387,Apartment,No,Somewhat agree,Temperature;Wind;Humidity,Neutral,Adjusting your thermostat settings based on the weather forecast.;Using energy-efficient appliances whenever possible.,,Refrigerator,,Very poorly,18-24 years old,Master's degree or higher,,"Less than €20,000",
,,,,,,,,,,,,,,,
45325,Semi-detached house,Yes,Strongly agree,Temperature,Somewhat informed,Using energy-efficient appliances whenever possible.;Washing clothes in cold water during hot weather.,Financial opportunities,Washing machine;Dryer;Dishwasher,Morning ,Somewhat well,25-34 years old,Bachelor's degree,,"€20,000 - €40,000",
More than 5,Detached house,No,Somewhat disagree,Wind,Somewhat uninformed,Washing clothes in cold water during hot weather.,,Dishwasher;Television;Computer,,Neutral,45-54 years old,Bachelor's degree,,"€20,000 - €40,000",No
