Horodateur,Do you want to continue with the survey?,How many people live in your household (including yourself)?,What type of dwelling do you live in?,Does your home have central heating?,"Does your home have any weather-sensitive features, such as smart thermostats or solar panels?",How satisfied are you with your current level of energy efficiency at home?,"How much do you agree with the following statement: ""Weather significantly impacts my household's electricity consumption""? [Please select]","In your opinion, which weather conditions most affect your home's energy use? (Select all that apply)","How informed do you feel about weather-based energy management strategies (e.g., adjusting thermostat settings based on weather)?",How likely would you be to adopt the following weather-based energy management strategies in your home? [Select all that apply],What are the main challenges you face in implementing energy-saving practices in your home? ,Do you monitor your household's electricity consumption regularly?,How often do you check your electricity consumption? [Please select],"In your opinion, which appliances in your home use the most electricity? (Select up to 3)",Do you have any specific days or times during the week when your household's electricity consumption is significantly higher?,"In your opinion, how well does your current energy provider inform you about your electricity consumption and ways to save energy?",What is your age range?,What is your highest level of education?,What is your occupation (optional)? ,What is your annual household income (optional)?,Do you have any additional comments or suggestions regarding weather-based energy management in Galway?,Have you completed all the questions and ready to submit the form?
3/3/2024 20:06,Yes,5-Apr,Semi-detached house,No,No,Somewhat satisfied,Strongly agree,Precipitation,Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics., Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",,Yes,Monthly,"Refrigerator, Washing machine, Dishwasher, Television",,Neutral,35-44 years old,High school diploma or equivalent,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 20:54,Yes,5-Apr,Apartment,No,Yes,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Neutral,Unplugging unused electronics.,,Yes,Yearly,Television,,Somewhat well,35-44 years old,Master's degree or higher,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 21:06,Yes,3-Feb,Apartment,Yes,Yes,Very satisfied,Neutral,"Precipitation, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Daily,"Dishwasher, Television",,Somewhat well,18-24 years old,Less than high school,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 21:07,Yes,5-Apr,Semi-detached house,Yes,Yes,Very satisfied,Strongly agree,Temperature,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Yes,Weekly,"Refrigerator, Dryer, Television",,Somewhat well,18-24 years old,Less than high school,,"€40,000 - €60,000",,"Yes, I am ready to submit"
3/3/2024 21:08,Yes,More than 5,Detached house,Yes,Yes,Very satisfied,Somewhat agree,"Temperature, Wind",Very informed,Adjusting your thermostat settings based on the weather forecast.,,Yes,Daily,"Refrigerator, Washing machine, Dryer, Dishwasher",,Somewhat poorly,18-24 years old,Less than high school,,"Less than €20,000",,"Yes, I am ready to submit"
3/3/2024 21:10,Yes,5-Apr,Apartment,No,No,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat informed,Using energy-efficient appliances whenever possible.,I'm on rent,Yes,Monthly,Dishwasher,No,Somewhat poorly,35-44 years old,High school diploma or equivalent,,"Less than €20,000",No,"Yes, I am ready to submit"
3/3/2024 21:12,Yes,5-Apr,Apartment,No,No,Somewhat dissatisfied,Somewhat agree,"Temperature, Precipitation, Wind, Humidity",Neutral,Unplugging unused electronics.,,No,Yearly,"Refrigerator, Washing machine, Dryer, Lighting",,Very poorly,18-24 years old,Less than high school,,"€60,000 - €80,000",,"Yes, I am ready to submit"
3/3/2024 21:22,Yes,3-Feb,Apartment,Yes,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Monthly,"Washing machine, Dryer, Dishwasher",,Somewhat well,45-54 years old,Less than high school,,"More than €80,000",,"Yes, I am ready to submit"
3/3/2024 21:27,Yes,More than 5,Semi-detached house,Yes,Yes,Somewhat satisfied,Somewhat agree,"Temperature, Precipitation",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",,No,Monthly,Washing machine,No ,Neutral,45-54 years old,Some college,,,,"Yes, I am ready to submit"
3/3/2024 21:31,Yes,5-Apr,Semi-detached house,Yes,No,Very satisfied,Somewhat disagree,Doesn't impact ,Very informed,Washing clothes in cold water during hot weather.,"Very energy sufficient already,  do nothing to face",No,Monthly,"Washing machine, Dryer",Sunday,Very well,25-34 years old,Master's degree or higher,Business analyst ,"More than €80,000",N/A,"Yes, I am ready to submit"
3/3/2024 21:47,Yes,5-Apr,Apartment,Yes,No,Neither satisfied nor dissatisfied,Strongly agree,Precipitation,Neutral,Adjusting your thermostat settings based on the weather forecast.,,Yes,Monthly,"Refrigerator, Television, Lighting",,Neutral,18-24 years old,Less than high school,,"Less than €20,000",,"Yes, I am ready to submit"
3/3/2024 21:47,Yes,5-Apr,Apartment,Yes,No,Somewhat satisfied,Somewhat agree,Temperature,Neutral,Washing clothes in cold water during hot weather.,,Yes,Monthly,Refrigerator,,Neutral,18-24 years old,Some college,,"€20,000 - €40,000",,"Yes, I am ready to submit"
3/3/2024 22:02,Yes,More than 5,Detached house,Yes,No,Neither satisfied nor dissatisfied,Somewhat disagree,"Temperature, Wind, Humidity",Very uninformed,Adjusting your thermostat settings based on the weather forecast.,The cost,Yes,Weekly,"Refrigerator, Dishwasher, Lighting",Yes on weekends because everyone is at home,Very poorly,45-54 years old,Master's degree or higher,Unemployed,"€20,000 - €40,000",No,"Yes, I am ready to submit"
3/3/2024 22:05,Yes,More than 5,Apartment,No,No,Very dissatisfied,Strongly agree,"Temperature, Wind",Somewhat uninformed,Using energy-efficient appliances whenever possible.,Too expensive ,Yes,Weekly,"Refrigerator, Television, Lighting",Weekends,Somewhat poorly,55-64 years old,Some college,,Prefer not to answer,No,"Yes, I am ready to submit"
3/3/2024 22:31,Yes,3-Feb,Detached house,Yes,Yes,Somewhat satisfied,Strongly agree,"Temperature, Humidity",Very informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",Not many challenges - mainly internet cut off to control heating system ,Yes,Weekly,"Dryer, Dishwasher, Television",Weekend ,Very well,45-54 years old,Master's degree or higher,Prefer not to say ,Prefer not to answer,More grants for households to upgrade to energy efficiënts equipments ,"Yes, I am ready to submit"
3/3/2024 22:46,Yes,3-Feb,Detached house,No,No,Somewhat dissatisfied,Strongly agree,"Temperature, Wind",Very uninformed,"Using energy-efficient appliances whenever possible., Taking shorter showers in hot weather.",Too expensive ,Yes,Weekly,"Refrigerator, Washing machine, Lighting",Weekends ,Neutral,18-24 years old,Less than high school,,"€40,000 - €60,000",,"Yes, I am ready to submit"
3/3/2024 23:01,Yes,3-Feb,Apartment,No,No,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Humidity, Cloudy ",Somewhat uninformed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",,No,Monthly,"Washing machine, Computer, Lighting",Weekends ,Very poorly,45-54 years old,Bachelor's degree,Technician,"€20,000 - €40,000","The information to be made public, the government to organise conferences to inform the population ","Yes, I am ready to submit"
3/3/2024 23:04,Yes,3-Feb,Apartment,No,No,Somewhat dissatisfied,Strongly agree,Temperature,Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Unplugging unused electronics.",Convenience,No,Monthly,Refrigerator,Between 5 and 7 when home from work. ,Somewhat poorly,25-34 years old,Master's degree or higher,,"€40,000 - €60,000",No,"Yes, I am ready to submit"
3/3/2024 23:08,Yes,1,Semi-detached house,No,No,Very dissatisfied,Neutral,"Precipitation, Humidity",Neutral,"Unplugging unused electronics., Washing clothes in cold water during hot weather.",My apartment is poorly isolated. It’s very cold throughout the year,No,Never,"Washing machine, Dryer, Dishwasher",Bank holidays and weekend ,Very poorly,45-54 years old,Bachelor's degree,I’m taxi driver ,"€20,000 - €40,000",Building should be isolated to reduce the heating ,"Yes, I am ready to submit"
3/3/2024 23:12,Yes,3-Feb,Semi-detached house,Yes,Yes,Somewhat satisfied,Neutral,"Wind, Humidity",Somewhat informed,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",Coldest weather ,Yes,Weekly,"Refrigerator, Washing machine, Dryer",Weekends ,Somewhat poorly,55-64 years old,Bachelor's degree,Care giver,"€40,000 - €60,000",organising information sessions ,"Yes, I am ready to submit"
3/3/2024 23:33,Yes,3-Feb,Apartment,Yes,No,Somewhat satisfied,Neutral,Humidity,Somewhat informed,"Washing clothes in cold water during hot weather., Taking shorter showers in hot weather.",Humidity ,No,Monthly,"Washing machine, Dryer",Weekend ,Somewhat poorly,25-34 years old,Some college,Bus driver,"€20,000 - €40,000",Reducing the cost of energy ,"Yes, I am ready to submit"
4/3/2024 6:20,Yes,5-Apr,Terrace ,No,No,Somewhat satisfied,Strongly agree,Temperature,Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible., Unplugging unused electronics.",Dealing with younger ones ,No,Weekly,"Washing machine, Dryer",No,Somewhat well,45-54 years old,Master's degree or higher,,"€40,000 - €60,000",,"Yes, I am ready to submit"
4/3/2024 7:22,Yes,5-Apr,Apartment,No,No,Very dissatisfied,Somewhat agree,"Temperature, Wind, Humidity",Neutral,"Adjusting your thermostat settings based on the weather forecast., Using energy-efficient appliances whenever possible.",,Yes,Weekly,Refrigerator,,Very poorly,18-24 years old,Master's degree or higher,,"Less than €20,000",,"Yes, I am ready to submit"
4/3/2024 7:56,No,,,,,,,,,,,,,,,,,,,,,
