household_size,dwelling_type,attitude,weather_effects_on_electricity_consumption,weather_conditions_most_affecting,awareness_about_energy_policies,weather-based_energy_management_strategies_adoption,challenges,monitoring,checking_consumption,appliances_using_the_most_electricity,self_reported_peak_consumption_times,provider_info_rating,age,education,occupation,income,comments
5,Semi_detached,Somewhat satisfied,Strongly agree,Precipitation,Somewhat informed,"Adjusting your thermostat settings based on the weather forecast, Washing clothes in cold water during hot weather, Taking shorter showers in hot weather",Cost,Yes,Monthly,"Refrigerator, Washing machine, Dishwasher, Television",Sathurday,Very poorly,35-44,High school diploma or equivalent,employed,20k-40k,Build sustainable houses
5,Apartment,Neither satisfied nor dissatisfied,Somewhat agree,Wind,Somewhat uninformed,Unplugging unused electronics,Finance,Yes,Yearly,Television,Sathurday,Neutral,35-44,Master's degree or higher,employed,20k-40k,Finance
3,Apartment,Very satisfied,Neutral,"Precipitation, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Daily,"Dishwasher, Television",Sathurday,Neutral,18-24,Less than high school,employed,20k-40k,Finance
5,Semi_detached,Very satisfied,Strongly agree,Humidity,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Weekly,"Refrigerator, Dryer, Television",Sathurday,Neutral,18-24,Less than high school,employed,40k-60k,Finance
6,Detached,Very satisfied,Somewhat agree,"Humidity, Wind",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Cost,Yes,Daily,"Refrigerator, Washing machine, Dryer, Dishwasher",Sathurday,Neutral,18-24,Less than high school,employed,0k-20k,Finance
5,Apartment,Neither satisfied nor dissatisfied,Neutral,Humidity,Somewhat uninformed,Using energy-efficient appliances whenever possible,Renting,Yes,Monthly,Dishwasher,Evening ,Neutral,35-44,High school diploma or equivalent,employed,0k-20k,Build sustainable houses
5,Apartment,Somewhat dissatisfied,Somewhat agree,"Precipitation, Wind, Humidity",Somewhat uninformed,Unplugging unused electronics,Finance,Lack of information ,Yearly,"Refrigerator, Washing machine, Dryer, Lighting",Sathurday,Neutral,18-24,Less than high school,employed,60k-80k,Build sustainable houses
3,Apartment,Somewhat satisfied,Somewhat agree,"Wind, Humidity",Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Cost,Yes,Monthly,"Washing machine, Dryer, Dishwasher",Sathurday,Very poorly,45-54,Less than high school,employed,80k-150k,Finance
6,Semi_detached,Somewhat satisfied,Somewhat agree,Precipitation,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Lack of information ,Monthly,Washing machine,Evening  ,Very poorly,45-54,Some college,employed,0k-20k,Build sustainable houses
5,Semi_detached,Very satisfied,Somewhat disagree,Precipitation,Somewhat uninformed,Washing clothes in cold water during hot weather,Lack of information ,Lack of information ,Monthly,"Washing machine, Dryer",Sunday,Very poorly,25-34,Master's degree or higher,Business analyst ,80k-150k,Build sustainable houses
5,Apartment,Neither satisfied nor dissatisfied,Strongly agree,Precipitation,Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Yes,Monthly,"Refrigerator, Television, Lighting",Sathurday,Very poorly,18-24,Less than high school,employed,0k-20k,Finance
5,Apartment,Somewhat satisfied,Somewhat agree,Humidity,Somewhat uninformed,Washing clothes in cold water during hot weather,Finance,Yes,Monthly,Refrigerator,Sathurday,Very poorly,18-24,Some college,employed,20k-40k,Finance
6,Detached,Neither satisfied nor dissatisfied,Somewhat disagree,"Wind, Humidity",Very uninformed,Adjusting your thermostat settings based on the weather forecast,Cost,Yes,Weekly,"Refrigerator, Dishwasher, Lighting",Sathurday,Very poorly,45-54,Master's degree or higher,Unemployed,20k-40k,politics
6,Apartment,Very dissatisfied,Strongly agree,"Humidity, Wind",Somewhat uninformed,Using energy-efficient appliances whenever possible,Finance,Yes,Weekly,"Refrigerator, Television, Lighting",Sathurday,Very poorly,45-54,Some college,employed,0k-20k,politics
3,Detached,Somewhat satisfied,Strongly agree,"Humidity, Humidity",Very informed,Adjusting your thermostat settings based on the weather forecast,Lack of information ,Yes,Weekly,"Dryer, Dishwasher, Television",weekend,Very poorly,45-54,Master's degree or higher,Prefer not to say ,0k-20k,More grants for households to upgrade to energy efficients equipments 
3,Detached,Somewhat dissatisfied,Strongly agree,"Humidity, Wind",Very uninformed,"Using energy-efficient appliances whenever possible, Taking shorter showers in hot weather",Finance,Yes,Weekly,"Refrigerator, Washing machine, Lighting",Sathurday ,Very poorly,18-24,Less than high school,employed,40k-60k,Finance
3,Apartment,Neither satisfied nor dissatisfied,Somewhat agree,"Precipitation, Humidity",Somewhat uninformed,Adjusting your thermostat settings based on the weather forecast,Finance,Lack of information ,Monthly,"Washing machine, Computer, Lighting",Sathurday ,Very poorly,45-54,Bachelor's degree,Technician,20k-40k,"The Informationto be made public, the government to organise conferences to inform the population "
3,Apartment,Somewhat dissatisfied,Strongly agree,Humidity,Somewhat informed,Adjusting your thermostat settings based on the weather forecast,Oldest house,Lack of information ,Monthly,Refrigerator,Evening,Very poorly,25-34,Master's degree or higher,employed,40k-60k,politics
1,Semi_detached,Very dissatisfied,Neutral,"Precipitation, Humidity",Somewhat uninformed,Washing clothes in cold water during hot weather,Oldest house,Lack of information ,Never,"Washing machine, Dryer, Dishwasher",holidays,Very poorly,45-54,Bachelor's degree,I’m taxi driver ,20k-40k,Building should be isolated to reduce the heating 
3,Semi_detached,Somewhat satisfied,Neutral,"Wind, Humidity",Very informed,Adjusting your thermostat settings based on the weather forecast,Oldest house,Yes,Weekly,"Refrigerator, Washing machine, Dryer",Sathurday ,Neutral,45-54,Bachelor's degree,Care giver,40k-60k,Information sessions
3,Apartment,Somewhat satisfied,Neutral,Humidity,Very informed,"Washing clothes in cold water during hot weather, Taking shorter showers in hot weather",Oldest house,Lack of information ,Monthly,"Washing machine, Dryer",weekend,Neutral,25-34,Some college,Bus driver,20k-40k,More grants for households to upgrade to energy efficients equipments 
5,Terrace ,Somewhat satisfied,Strongly agree,Humidity,Very informed,Adjusting your thermostat settings based on the weather forecast,Oldest house,Lack of information ,Weekly,"Washing machine, Dryer",Evening ,Neutral,45-54,Master's degree or higher,employed,40k-60k,Finance
5,Apartment,Very dissatisfied,Somewhat agree,"Wind, Humidity",Very informed,Adjusting your thermostat settings based on the weather forecast,Cost,Yes,Weekly,Refrigerator,Sathurday,Neutral,18-24,Master's degree or higher,employed,0k-20k,Finance
