Date,Month,Max_Temperature_(°F),Avg_Temperature_(°F),Low_Temperature_(°F),Max_Dew Point_(°F),Avg_Dew Point_(°F),Low_Dew Point_(°F),Max_Humidity_(%),Avg_Humidity_(%),Low_Humidity_(%),Max_WindSpeed_(mph),Avg_WindSpeed_(mph),Low_WindSpeed_(mph),Max_Pressure_(in),Avg_Pressure_(in),Low_Pressure_(in),Precipitation_(in)
1/1/2024,1,52,47.3,43,49,41.8,34,98,81.9,62,31,22.3,7,29.4,29.1,28.8,0
1/2/2024,1,51,49.6,47,49,47,45,95,90.7,86,27,19.4,13,28.9,28.9,28.8,0
1/3/2024,1,50,48.2,46,47,45.2,42,93,89.1,78,31,20.1,11,29.3,29.1,28.9,0
1/4/2024,1,48,46.7,45,44,41,37,91,81,70,29,19,9,29.5,29.4,29.3,0
1/5/2024,1,46,45.1,43,41,39.3,38,85,80.4,76,22,14,9,29.9,29.7,29.5,0
1/6/2024,1,48,43.6,40,41,38.7,36,91,82.7,74,16,5.5,2,30.3,30.1,29.9,0
1/7/2024,1,44,39.4,36,39,35.2,31,93,85,74,11,7.6,2,30.4,30.3,30.3,0
1/8/2024,1,39,34.3,0,35,30.4,0,95,82.2,0,22,14.2,7,30.4,30.4,30.4,0
1/9/2024,1,40,35.2,32,32,29.6,28,87,80.4,67,20,14.4,9,30.5,30.4,30.4,0
1/10/2024,1,41,36.4,33,34,31.6,29,89,82.5,74,22,15.1,9,30.6,30.5,30.4,0
1/11/2024,1,45,41.8,39,37,35.9,34,84,78.7,70,18,10,7,30.7,30.7,30.6,0
1/12/2024,1,41,38.3,36,36,34.1,33,94,84.8,81,9,5.9,2,30.7,30.6,30.5,0
1/13/2024,1,46,40.9,36,44,38.5,34,95,91,82,9,3.8,0,30.5,30.3,30.1,0
1/14/2024,1,44,40.1,37,41,37.2,33,96,89.5,81,11,5.7,2,30.1,30,30,0
1/15/2024,1,42,38.3,33,34,31.5,29,89,76.5,65,9,4.5,2,30,30,29.9,0
1/16/2024,1,45,42.1,36,40,35.6,31,95,78.2,67,22,14.9,0,29.9,29.6,29.4,0
1/17/2024,1,39,33.4,30,32,30.3,28,95,88.8,68,11,7.6,2,29.5,29.4,29.3,0
1/18/2024,1,42,36.4,29,33,30.2,26,88,78,66,9,5.7,2,30,29.8,29.6,0
1/19/2024,1,48,45,41,43,36.5,30,86,72.5,62,36,27.5,16,30,29.9,29.7,0
1/20/2024,1,51,49.3,47,49,46.5,42,96,90.8,79,40,27.7,18,29.7,29.5,29.4,0
1/21/2024,1,53,50,47,53,46.6,40,100,87.7,73,60,40.7,20,29.4,29.1,28.6,0
1/22/2024,1,49,47.2,45,41,39,37,87,73.6,66,47,35.4,20,29.9,29.6,29.1,0
1/23/2024,1,53,51.1,47,53,47.1,41,97,86.6,72,49,35.8,16,29.9,29.5,29.4,0
1/24/2024,1,50,48.8,48,47,43.8,41,95,83.4,74,45,20,9,30.1,30,29.7,0
1/25/2024,1,52,50,45,51,48.7,41,98,94.9,86,40,24.6,18,30,29.8,29.6,0
1/26/2024,1,49,47,44,45,39.7,33,90,75.7,62,40,29,22,30.2,30.1,29.8,0
1/27/2024,1,51,47.3,0,49,43.8,0,97,83.2,0,27,22.8,16,30.2,30,29.8,0
1/28/2024,1,54,49.4,44,50,43.9,35,96,81.8,65,36,23.5,11,30,29.7,29.5,0
1/29/2024,1,47,41.6,38,36,33.6,29,87,74.4,50,11,5.4,2,30.2,30.1,30,0
